penalty,score,MR_Z_BUY,MR_Z_SELL,final_pnl,pnl_spread,day_0_pnl,day_1_pnl,day_2_pnl
0.0,-inf,,,,,,,
0.0,-inf,,,,,,,
0.0,-inf,,,,,,,
0.0,-inf,,,,,,,
0.0,-inf,,,,,,,
0.0,-inf,,,,,,,
0.0,-inf,,,,,,,
0.0,-inf,,,,,,,
0.0,-inf,,,,,,,
0.0,-inf,,,,,,,
0.0,-inf,,,,,,,
0.0,6533.0,6.5,7.25,6533.0,3261.0,104.0,3365.0,3064.0
0.0,25357.0,1.75,4.0,25357.0,10734.0,3482.0,14216.0,7659.0
0.0,20715.0,2.75,5.25,20715.0,13109.0,1239.0,14348.0,5128.0
0.0,25687.0,2.75,3.5,25687.0,10195.0,5099.0,15294.0,5294.0
0.0,19426.0,2.5,6.75,19426.0,13636.0,-342.0,13294.0,6474.0
0.0,29035.0,1.75,3.0,29035.0,9405.0,5703.0,15108.0,8224.0
0.0,-inf,,,,,,,
0.0,24738.0,2.25,4.0,24738.0,10521.0,3701.0,14222.0,6815.0
0.0,20663.0,3.0,4.25,20663.0,12440.0,2018.0,14458.0,4187.0
0.0,19341.0,1.25,7.5,19341.0,13872.0,-1296.0,12576.0,8061.0
0.0,17678.0,4.25,5.25,17678.0,10754.0,1530.0,12284.0,3864.0
0.0,29257.0,1.5,2.75,29257.0,9097.0,5867.0,14964.0,8426.0
0.0,13082.0,4.75,6.5,13082.0,9520.0,29.0,9549.0,3504.0
0.0,6499.0,6.75,7.25,6499.0,3295.0,70.0,3365.0,3064.0
0.0,29035.0,1.75,3.0,29035.0,9405.0,5703.0,15108.0,8224.0
0.0,29006.0,2.5,2.75,29006.0,8722.0,6591.0,15313.0,7102.0
0.0,8839.0,6.0,6.0,8839.0,5527.0,104.0,5631.0,3104.0
0.0,10908.0,5.25,7.75,10908.0,7526.0,159.0,7685.0,3064.0
0.0,15113.0,4.25,7.25,15113.0,11231.0,29.0,11260.0,3824.0
0.0,30519.0,1.5,2.25,30519.0,8603.0,6755.0,15358.0,8406.0
0.0,8496.0,6.0,7.5,8496.0,5224.0,104.0,5328.0,3064.0
0.0,23242.0,1.75,4.25,23242.0,12237.0,1661.0,13898.0,7683.0
0.0,18967.0,2.25,7.75,18967.0,12975.0,-381.0,12594.0,6754.0
0.0,21012.0,3.25,4.25,21012.0,12441.0,2249.0,14690.0,4073.0
0.0,17283.0,3.75,7.75,17283.0,13409.0,-57.0,13352.0,3988.0
0.0,18704.0,1.0,7.75,18704.0,14345.0,-1901.0,12444.0,8161.0
0.0,25592.0,1.0,3.75,25592.0,11658.0,2844.0,14502.0,8246.0
0.0,27343.0,1.75,3.5,27343.0,10017.0,4761.0,14778.0,7804.0
0.0,26966.0,1.25,3.5,26966.0,10569.0,4065.0,14634.0,8267.0
0.0,27590.0,1.0,3.25,27590.0,10817.0,4102.0,14919.0,8569.0
0.0,27590.0,1.0,3.25,27590.0,10817.0,4102.0,14919.0,8569.0
0.0,27590.0,1.0,3.25,27590.0,10817.0,4102.0,14919.0,8569.0
0.0,26966.0,1.25,3.5,26966.0,10569.0,4065.0,14634.0,8267.0
0.0,26461.0,1.0,3.5,26461.0,11174.0,3460.0,14634.0,8367.0
0.0,30810.0,1.75,2.25,30810.0,8142.0,7221.0,15363.0,8226.0
0.0,28095.0,1.25,3.25,28095.0,10212.0,4707.0,14919.0,8469.0
0.0,28095.0,1.25,3.25,28095.0,10212.0,4707.0,14919.0,8469.0
0.0,29756.0,1.25,2.5,29756.0,9059.0,5983.0,15042.0,8731.0
0.0,31226.0,1.25,2.0,31226.0,8609.0,7010.0,15619.0,8597.0
0.0,-inf,,,,,,,
0.0,30721.0,1.0,2.0,30721.0,9214.0,6405.0,15619.0,8697.0
0.0,30721.0,1.0,2.0,30721.0,9214.0,6405.0,15619.0,8697.0
0.0,30533.0,1.25,2.25,30533.0,8794.0,6525.0,15319.0,8689.0
0.0,30721.0,1.0,2.0,30721.0,9214.0,6405.0,15619.0,8697.0
0.0,30721.0,1.0,2.0,30721.0,9214.0,6405.0,15619.0,8697.0
0.0,31226.0,1.25,2.0,31226.0,8609.0,7010.0,15619.0,8597.0
0.0,30721.0,1.0,2.0,30721.0,9214.0,6405.0,15619.0,8697.0
0.0,30028.0,1.0,2.25,30028.0,9399.0,5920.0,15319.0,8789.0
0.0,30028.0,1.0,2.25,30028.0,9399.0,5920.0,15319.0,8789.0
0.0,31198.0,1.5,2.0,31198.0,8404.0,7240.0,15644.0,8314.0
0.0,30519.0,1.5,2.25,30519.0,8603.0,6755.0,15358.0,8406.0
0.0,31198.0,1.5,2.0,31198.0,8404.0,7240.0,15644.0,8314.0
0.0,31198.0,1.5,2.0,31198.0,8404.0,7240.0,15644.0,8314.0
0.0,29769.0,1.5,2.5,29769.0,8895.0,6213.0,15108.0,8448.0
0.0,29769.0,1.5,2.5,29769.0,8895.0,6213.0,15108.0,8448.0
0.0,31534.0,1.75,2.0,31534.0,7988.0,7706.0,15694.0,8134.0
0.0,31198.0,1.5,2.0,31198.0,8404.0,7240.0,15644.0,8314.0
0.0,31198.0,1.5,2.0,31198.0,8404.0,7240.0,15644.0,8314.0
0.0,31534.0,1.75,2.0,31534.0,7988.0,7706.0,15694.0,8134.0
0.0,31198.0,1.5,2.0,31198.0,8404.0,7240.0,15644.0,8314.0
0.0,30835.0,2.0,2.25,30835.0,8077.0,7371.0,15448.0,8016.0
0.0,29769.0,1.5,2.5,29769.0,8895.0,6213.0,15108.0,8448.0
0.0,30519.0,1.5,2.25,30519.0,8603.0,6755.0,15358.0,8406.0
0.0,30519.0,1.5,2.25,30519.0,8603.0,6755.0,15358.0,8406.0
0.0,30835.0,2.0,2.25,30835.0,8077.0,7371.0,15448.0,8016.0
0.0,30835.0,2.0,2.25,30835.0,8077.0,7371.0,15448.0,8016.0
0.0,30835.0,2.0,2.25,30835.0,8077.0,7371.0,15448.0,8016.0
0.0,30519.0,1.5,2.25,30519.0,8603.0,6755.0,15358.0,8406.0
0.0,29571.0,2.0,2.75,29571.0,8569.0,6483.0,15052.0,8036.0
0.5,-inf,,,,,,,
0.5,-inf,,,,,,,
0.5,-inf,,,,,,,
0.5,-inf,,,,,,,
0.5,-inf,,,,,,,
0.5,-inf,,,,,,,
0.5,-inf,,,,,,,
0.5,-inf,,,,,,,
0.5,-inf,,,,,,,
0.5,-inf,,,,,,,
0.5,4979.0,6.75,6.75,6734.0,3510.0,70.0,3580.0,3084.0
0.5,16002.0,2.25,4.5,22188.0,12372.0,1490.0,13862.0,6836.0
0.5,12479.5,2.25,8.0,18967.0,12975.0,-381.0,12594.0,6754.0
0.5,10907.5,4.25,5.75,16693.0,11571.0,629.0,12200.0,3864.0
